Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,145.200 FM,145.2,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
2,145.2125 FM,145.2125,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
3,145.225.FM,145.225,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
4,145.2375 FM,145.2375,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
5,145.250 FM,145.25,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
6,145.2625 FM,145.2625,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
7,145.275 FM,145.275,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
8,145.2875 FM,145.2875,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
9,145.300 FM,145.3,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
10,145.3125 FM,145.3215,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
11,145.325 FM,145.325,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
12,145.3375 FM,145.3375,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
13,145.350 FM,145.35,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
14,145.3625 FM,145.3625,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
15,145.375 FM,145.375,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
16,145.3875 FM,145.3875,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
17,145.400 FM,145.4,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
18,145.4125 FM,145.4125,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
19,145.425 FM,145.425,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
20,145.4375 FM,145.4375,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
21,145.450 FM,145.45,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
22,145.4625 FM,145.4625,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
23,145.475 FM,145.475,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
24,145.4875 FM,145.4875,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
25,145.500 FM,145.5,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
26,145.5125 FM,145.5125,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
27,145.525 FM,145.525,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
28,145.5375 FM,145.5375,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
29,145.550 FM,145.55,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
30,145.5625 FM,145.5625,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
31,433.400 FM,433.4,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
32,433.4125 FM,433.4125,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
33,433.425 FM,433.425,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
34,433.4375 FM,433.4375,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
35,433.450 FM,433.45,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
36,433.4625 FM,433.4625,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
37,433.475 FM,433.475,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
38,433.4875 FM,433.4875,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
