Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,Marine 1,156.05,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
2,Marine 2,156.1,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
3,Marine 3,156.15,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
4,Marine 4,156.2,,-4.60000000000002,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
5,Marine 5,156.25,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
6,Marine 6,156.3,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
7,Marine 7,156.35,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
8,Marine 8,156.4,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
9,Marine 9,156.45,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
10,Marine 10,156.5,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
11,Marine 11,156.55,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
12,Marine 12,156.6,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
13,Marine 13,156.65,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
14,Marine 14,156.7,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
15,Marine 15,156.75,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
16,Marine 16,156.8,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
17,Marine 17,156.85,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
18,Marine 18,156.9,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
19,Marine 19,156.95,,-4.60000000000002,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
20,Marine 20,157,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
21,Marine 21,157.05,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
22,Marine 22,157.1,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
23,Marine 23,157.15,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
24,Marine 24,157.2,,-4.60000000000002,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
25,Marine 25,157.25,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
26,Marine 26,157.3,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
27,Marine 27,157.35,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
28,Marine 28,157.4,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
29,Marine 60,156.025,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
30,Marine 61,156.075,,-4.60000000000002,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
